Sample Size,Estimated PI,Absolute Error
100,3.32,0.178407
316,3.1519,0.0103061
1000,3.124,0.0175927
3162,3.08539,0.0562037
10000,3.1456,0.00400735
31623,3.14999,0.00839312
100000,3.13968,0.00191265
316228,3.13832,0.00327473
1000000,3.14246,0.000867346
